PC1,cluster
0.7830671640661786,4
-0.541446021930057,3
0.7165089543077698,4
-0.7684790684896446,0
-0.4248087461722319,3
-0.6334735382709746,3
0.6024892050860307,4
-0.4254532047210306,3
-0.0787180793210842,5
-0.954360705239257,0
-0.8028228124554211,0
-0.2637943459430528,5
0.2977606366823434,2
-0.3242564641028057,5
0.2957765760276682,2
-0.5137390446667329,3
0.9600954910112852,4
-0.9506559028710913,0
-0.8095378380090485,0
-0.7409697498484675,0
-0.3110933802866057,5
-0.6219782867246634,3
0.7564498860171716,4
-0.3957062020601813,5
0.0062198535745874,2
-0.9509277645509256,0
-0.8046409279042439,0
-0.217494201745972,5
0.3862217502722576,2
-0.5115048601304149,3
1.0199800860737889,4
-0.7707339594680873,0
-0.3491561554908112,5
-0.6109767333250357,3
0.7892120960336932,4
-0.3864565946453645,5
0.0524252370890464,2
-0.77089297494502,0
-0.3310579108895314,5
-0.5987530511021298,3
0.8330917035275407,4
-0.3694650430668777,5
0.0711620681147503,2
-0.9405378979011372,0
-0.7888149386538839,0
-0.1979426066631966,5
0.466913652725212,2
-0.4891823507608172,3
1.2213251317569989,4
-0.9517731890468044,0
-0.804057473566347,0
-0.2206385662716352,5
0.3898747235375907,2
-0.5058994508641119,3
0.9644464206246672,4
-0.7992931248179221,0
-0.3482453625273234,5
-0.6178504151830649,3
0.7533746436340656,4
-0.3853583177977165,5
0.0240091787034885,2
-0.5103152801959231,3
1.0071175001206003,4
-0.7806246122926905,0
-0.344438605876442,5
-0.6157423279875871,3
0.7593255974445676,4
-0.4018921551778373,5
0.0645276563817148,2
-0.9593323808966406,0
-0.7963053895577715,0
-0.2345679765657143,5
0.4107396476735639,2
-0.7816727621301578,0
-0.3133099852696554,5
-0.6226432473289305,3
0.8077006674103531,4
-0.3981072770932191,5
0.04833059800091,2
-0.9585326398668268,0
-0.7938729968709785,0
-0.2351013293255193,5
0.3966231434792645,2
-0.5117909067787094,3
1.0355229517030755,4
-0.9621866529408208,0
-0.8064781157371574,0
-0.7557505649639062,0
-0.3128295576819881,5
-0.6110782959825627,3
0.7415677687389961,4
-0.4082132989324279,5
0.0416797930571206,2
-0.3072370734611971,5
0.3498116371890158,2
-0.5281822873118026,3
0.978516139331256,4
-0.4382385831475877,3
-0.0107603776087584,2
-0.9652520054397952,0
-0.8103813081913207,0
-0.2696198922912107,5
0.366934169543427,2
-0.5404268172566515,3
0.9685933945170526,4
-0.7949046968170916,0
-0.3547434082255192,5
-0.6382054667157766,3
0.719530254580931,4
-0.789943833574416,0
-0.3450638105298205,5
-0.6392980149487437,3
0.7630699489243036,4
-0.4563061983364824,3
-0.0010794956291397,2
-0.9618043387445392,0
-0.8096621729035299,0
-0.3103803176559124,5
0.2814052053096524,2
-0.5623907912980354,3
0.8452785370600173,4
-0.5641961627414436,3
0.8257397926945289,4
-0.8068146259217127,0
-0.5077910634833567,3
-0.665812225684468,3
0.5104921850173316,2
-0.4696896502199552,3
-0.089525770526433,5
-0.9610142007653514,0
-0.8452086726591274,0
-0.347823836061173,5
0.1454098288640671,2
-0.3936563717926111,5
0.1081064898963515,2
-0.5748174978267102,3
0.6214989968733338,4
-0.9653128469469466,0
-0.857351665835037,0
-0.794524351553049,0
-0.5006170557917888,3
-0.6745314093228129,3
0.3259437628897769,2
-0.5002312899045034,3
-0.2235174259113233,5
-0.9665911926029644,0
-0.865846667246351,0
-0.3840826312857183,5
0.0091932845374234,2
-0.5907729842577905,3
0.508711808337212,2
-0.8121018941255828,0
-0.5497298404399669,3
-0.6930615853539812,3
0.2768598376785183,2
-0.5162528905408391,3
-0.2615548919942525,5
-0.8105975825298597,0
-0.550211532457891,3
-0.6904209264917167,3
0.237055833419154,2
-0.5253105654203933,3
-0.2942633422672468,5
-0.9608625623038296,0
-0.8836895290222778,0
-0.4198011841597502,3
-0.0810633059725893,5
-0.6200121881816868,3
0.3910392332967839,2
-1.0045076057359947,0
-0.8737609554475341,0
-0.3938958651026177,5
-0.1587798613154083,5
-0.5707025895762756,3
0.0714262281039593,2
-0.7700971262214027,0
-0.639253952122351,3
-0.6370314752427311,3
-0.1245767117338403,5
-0.4609402039472868,3
-0.4726695144912646,3
-0.5971196109731083,3
-0.0455120477148934,2
-0.7781355122899565,0
-0.678765315692489,3
-0.6620333042028292,3
-0.0955735561438945,5
-0.5128972217038223,3
-0.4409457255513256,3
-1.0072826744194985,0
-0.906602759694438,0
-0.4269514431005322,3
-0.2650373644604323,5
-0.7923901726745088,0
-0.6379892317937054,3
-0.6760346406116926,3
-0.0962573694557691,5
-0.5021247111583389,3
-0.4581286011281948,3
-1.0087462805197702,0
-0.9160557299939271,0
-0.4222351850595607,3
-0.2896878867124262,5
-0.5987732178954998,3
0.0282452996107854,2
-1.009399991351032,0
-0.9129815586683864,0
-0.77502347776435,0
-0.6427520919711199,3
-0.6595547250595599,3
-0.0978938561142351,5
-0.4819608225863785,3
-0.4523072173929361,3
-0.4332298395747893,3
-0.2696802043769319,5
-0.5825277771012954,3
0.0789395853374034,2
-0.4951379912240317,3
-0.4199746003015025,3
-1.0075869659948746,0
-0.9065510383887028,0
-0.3779640992861012,5
-0.2313079519070603,5
-0.5680466760042018,3
